Size, Seq, Par, Libc
100, 0.000019, 0.008596, 0.000026
100, 0.000019, 0.007201, 0.000025
100, 0.000019, 0.007222, 0.000026
100, 0.000019, 0.007263, 0.000025
100, 0.000019, 0.008523, 0.000025
100, 0.000018, 0.008587, 0.000026
100, 0.000020, 0.008547, 0.000026
100, 0.000018, 0.008539, 0.000026
100, 0.000018, 0.008621, 0.000026
100, 0.000020, 0.008628, 0.000026
1000, 0.000284, 0.045350, 0.000363
1000, 0.000284, 0.045942, 0.000362
1000, 0.000285, 0.045132, 0.000363
1000, 0.000284, 0.046765, 0.000363
1000, 0.000284, 0.045186, 0.000361
1000, 0.000285, 0.046651, 0.000357
1000, 0.000285, 0.045515, 0.000362
1000, 0.000285, 0.042951, 0.000364
1000, 0.000285, 0.047214, 0.000361
1000, 0.000284, 0.045597, 0.000360
10000, 0.003273, 0.080424, 0.002862
10000, 0.003274, 0.079555, 0.002868
10000, 0.003270, 0.078524, 0.002868
10000, 0.003244, 0.079491, 0.002864
10000, 0.003283, 0.079992, 0.002862
10000, 0.003275, 0.079688, 0.002862
10000, 0.003359, 0.089831, 0.002863
10000, 0.003359, 0.088728, 0.002834
10000, 0.003343, 0.088119, 0.002828
10000, 0.003346, 0.087977, 0.002833
100000, 0.042587, 0.137218, 0.036946
100000, 0.042561, 0.140532, 0.037079
100000, 0.042629, 0.137515, 0.037003
100000, 0.040786, 0.159000, 0.036799
100000, 0.040776, 0.159398, 0.036688
100000, 0.040788, 0.158873, 0.037055
100000, 0.040750, 0.158913, 0.038169
100000, 0.041567, 0.152331, 0.038005
100000, 0.041552, 0.152239, 0.036961
100000, 0.041579, 0.151108, 0.036504
1000000, 0.493591, 0.644329, 0.435198
1000000, 0.504656, 0.642106, 0.435952
1000000, 0.494589, 0.639441, 0.435754
1000000, 0.495313, 0.637681, 0.435853
1000000, 0.493230, 0.619366, 0.435640
1000000, 0.482824, 0.660916, 0.435618
1000000, 0.506816, 0.647559, 0.435480
1000000, 0.519394, 0.630764, 0.435008
1000000, 0.533359, 0.655549, 0.435390
1000000, 0.522906, 0.656213, 0.436162
