Size, Seq, Par, Libc
100, 0.000020, 0.010510, 0.000024
100, 0.000020, 0.007626, 0.000024
100, 0.000020, 0.008534, 0.000024
100, 0.000019, 0.009252, 0.000023
100, 0.000020, 0.009383, 0.000023
100, 0.000020, 0.010454, 0.000023
100, 0.000020, 0.008841, 0.000023
100, 0.000019, 0.010725, 0.000024
100, 0.000020, 0.009411, 0.000023
100, 0.000019, 0.009671, 0.000025
1000, 0.000252, 0.041131, 0.000367
1000, 0.000251, 0.055732, 0.000371
1000, 0.000252, 0.047055, 0.000370
1000, 0.000256, 0.055734, 0.000373
1000, 0.000256, 0.058972, 0.000657
1000, 0.000289, 0.058006, 0.000374
1000, 0.000257, 0.052513, 0.000369
1000, 0.000256, 0.052014, 0.000365
1000, 0.000257, 0.066157, 0.000371
1000, 0.000257, 0.065285, 0.000366
10000, 0.003497, 0.095025, 0.002878
10000, 0.003507, 0.113180, 0.003179
10000, 0.003512, 0.106755, 0.002848
10000, 0.003873, 0.129221, 0.002846
10000, 0.003788, 0.112126, 0.003158
10000, 0.003414, 0.080075, 0.003211
10000, 0.003502, 0.081494, 0.002888
10000, 0.003416, 0.091569, 0.002867
10000, 0.003383, 0.091302, 0.002871
10000, 0.003544, 0.083403, 0.002838
100000, 0.043128, 0.149940, 0.035916
100000, 0.043077, 0.156149, 0.035988
100000, 0.041753, 0.150862, 0.035806
100000, 0.041747, 0.144076, 0.036084
100000, 0.041972, 0.130483, 0.035954
100000, 0.041739, 0.155301, 0.035778
100000, 0.041757, 0.145364, 0.035555
100000, 0.041757, 0.192164, 0.035832
100000, 0.041771, 0.140735, 0.035810
100000, 0.041722, 0.216704, 0.035668
1000000, 0.507771, 0.453811, 0.435360
1000000, 0.510464, 0.484370, 0.435221
1000000, 0.486291, 0.470424, 0.435080
1000000, 0.498922, 0.444948, 0.435125
1000000, 0.527594, 0.467098, 0.434517
1000000, 0.513676, 0.452116, 0.435738
1000000, 0.508221, 0.509319, 0.435390
1000000, 0.510737, 0.453536, 0.435325
1000000, 0.504943, 0.483848, 0.435748
1000000, 0.495181, 0.494450, 0.435081
