Size, Seq, Par, Libc
100, 0.000021, 0.007804, 0.000026
100, 0.000020, 0.007735, 0.000025
100, 0.000020, 0.008155, 0.000024
100, 0.000020, 0.007823, 0.000054
100, 0.000020, 0.007793, 0.000024
100, 0.000020, 0.007701, 0.000025
100, 0.000020, 0.007719, 0.000025
100, 0.000019, 0.008192, 0.000024
100, 0.000020, 0.008088, 0.000026
100, 0.000020, 0.008122, 0.000025
1000, 0.000250, 0.031839, 0.000360
1000, 0.000250, 0.032589, 0.000359
1000, 0.000264, 0.048133, 0.000361
1000, 0.000263, 0.048483, 0.000361
1000, 0.000263, 0.048251, 0.000362
1000, 0.000264, 0.050298, 0.000360
1000, 0.000263, 0.048036, 0.000364
1000, 0.000264, 0.048740, 0.000361
1000, 0.000264, 0.048975, 0.000363
1000, 0.000263, 0.047713, 0.000366
10000, 0.003217, 0.097293, 0.002843
10000, 0.003204, 0.098184, 0.002872
10000, 0.003214, 0.097744, 0.002838
10000, 0.003208, 0.098580, 0.002870
10000, 0.003216, 0.097661, 0.002842
10000, 0.003279, 0.090978, 0.002833
10000, 0.003271, 0.090680, 0.002884
10000, 0.003299, 0.092342, 0.002864
10000, 0.003290, 0.090752, 0.003604
10000, 0.003283, 0.092069, 0.002863
100000, 0.041367, 0.151235, 0.037204
100000, 0.041346, 0.151972, 0.037062
100000, 0.041550, 0.156960, 0.036702
100000, 0.041533, 0.155834, 0.036811
100000, 0.041640, 0.156970, 0.037072
100000, 0.041556, 0.156470, 0.037188
100000, 0.040526, 0.155456, 0.037026
100000, 0.040518, 0.155861, 0.036998
100000, 0.040592, 0.159097, 0.037282
100000, 0.040549, 0.156150, 0.038627
1000000, 0.497711, 0.652316, 0.435397
1000000, 0.484497, 0.652243, 0.434781
1000000, 0.491852, 0.657249, 0.435380
1000000, 0.496442, 0.651933, 0.436124
1000000, 0.550941, 0.644518, 0.435294
1000000, 0.494739, 0.643564, 0.435672
1000000, 0.493296, 0.659641, 0.434892
1000000, 0.501215, 0.645518, 0.436116
1000000, 0.497655, 0.662914, 0.435731
1000000, 0.496514, 0.641592, 0.435175
