Size, Seq, Par, Libc
100, 0.000019, 0.008863, 0.000024
100, 0.000019, 0.008754, 0.000024
100, 0.000019, 0.008387, 0.000024
100, 0.000019, 0.008875, 0.000025
100, 0.000019, 0.008847, 0.000024
100, 0.000020, 0.008820, 0.000025
100, 0.000019, 0.008737, 0.000024
100, 0.000019, 0.008791, 0.000023
100, 0.000019, 0.008825, 0.000024
100, 0.000019, 0.008909, 0.000024
1000, 0.000251, 0.028743, 0.000358
1000, 0.000250, 0.028553, 0.000361
1000, 0.000250, 0.028894, 0.000358
1000, 0.000251, 0.029603, 0.000357
1000, 0.000250, 0.028561, 0.000360
1000, 0.000251, 0.029044, 0.000360
1000, 0.000250, 0.029319, 0.000360
1000, 0.000279, 0.028410, 0.000358
1000, 0.000250, 0.028520, 0.000357
1000, 0.000251, 0.028429, 0.000356
10000, 0.003340, 0.071497, 0.003232
10000, 0.003340, 0.067379, 0.002841
10000, 0.003333, 0.067877, 0.002821
10000, 0.003321, 0.066233, 0.002845
10000, 0.003342, 0.066151, 0.002822
10000, 0.003309, 0.066336, 0.002843
10000, 0.003298, 0.077281, 0.002846
10000, 0.003299, 0.077195, 0.002847
10000, 0.003301, 0.078464, 0.002849
10000, 0.003301, 0.078440, 0.002820
100000, 0.042799, 0.145981, 0.036748
100000, 0.042803, 0.144510, 0.036751
100000, 0.042846, 0.145595, 0.038312
100000, 0.041676, 0.141587, 0.036229
100000, 0.041693, 0.145596, 0.036054
100000, 0.041709, 0.140298, 0.036418
100000, 0.041727, 0.138158, 0.036599
100000, 0.039932, 0.145238, 0.037086
100000, 0.039944, 0.144702, 0.036578
100000, 0.039904, 0.145624, 0.036631
1000000, 0.493512, 0.627129, 0.432457
1000000, 0.485954, 0.650969, 0.432243
1000000, 0.487494, 0.649006, 0.432209
1000000, 0.499602, 0.624346, 0.430952
1000000, 0.485498, 0.660094, 0.432455
1000000, 0.479517, 0.629864, 0.432192
1000000, 0.501118, 0.621915, 0.432020
1000000, 0.497606, 0.629167, 0.432552
1000000, 0.509556, 0.632447, 0.432625
1000000, 0.499107, 0.623800, 0.432324
