Size, Seq, Par, Libc
100, 0.000021, 0.015539, 0.000024
100, 0.000020, 0.014782, 0.000023
100, 0.000021, 0.010852, 0.000024
100, 0.000020, 0.013680, 0.000023
100, 0.000020, 0.013021, 0.000023
100, 0.000020, 0.014864, 0.000023
100, 0.000021, 0.014302, 0.000024
100, 0.000021, 0.012198, 0.000023
100, 0.000020, 0.012299, 0.000023
100, 0.000020, 0.013431, 0.000023
1000, 0.000262, 0.063017, 0.000357
1000, 0.000263, 0.053817, 0.000359
1000, 0.000262, 0.056517, 0.000358
1000, 0.000263, 0.053453, 0.000362
1000, 0.000262, 0.057595, 0.000356
1000, 0.000262, 0.049026, 0.000358
1000, 0.000249, 0.068583, 0.000715
1000, 0.000280, 0.062741, 0.000354
1000, 0.000248, 0.057593, 0.000361
1000, 0.000280, 0.063088, 0.000359
10000, 0.003479, 0.085985, 0.002866
10000, 0.003225, 0.090683, 0.002871
10000, 0.003234, 0.086976, 0.002845
10000, 0.003199, 0.086588, 0.002869
10000, 0.003199, 0.083878, 0.002847
10000, 0.003230, 0.085408, 0.002897
10000, 0.003233, 0.089124, 0.003130
10000, 0.003237, 0.112053, 0.002873
10000, 0.003208, 0.098738, 0.002885
10000, 0.003239, 0.136924, 0.002992
100000, 0.043956, 0.145189, 0.035837
100000, 0.043738, 0.151198, 0.035609
100000, 0.043700, 0.152985, 0.035356
100000, 0.041144, 0.122636, 0.035889
100000, 0.041126, 0.149602, 0.035618
100000, 0.041109, 0.156339, 0.035732
100000, 0.041116, 0.145209, 0.035592
100000, 0.041543, 0.192990, 0.035811
100000, 0.041598, 0.145171, 0.035753
100000, 0.041538, 0.199684, 0.035503
1000000, 0.513880, 0.464309, 0.433068
1000000, 0.499243, 0.476827, 0.433167
1000000, 0.481108, 0.474975, 0.433522
1000000, 0.490009, 0.468096, 0.433456
1000000, 0.496858, 0.453988, 0.432818
1000000, 0.491662, 0.447985, 0.433154
1000000, 0.495070, 0.451726, 0.432866
1000000, 0.516297, 0.444418, 0.432212
1000000, 0.492559, 0.458847, 0.433728
1000000, 0.504058, 0.468699, 0.433829
