Size, Seq, Par, Libc
100, 0.000020, 0.008022, 0.000025
100, 0.000020, 0.008029, 0.000026
100, 0.000021, 0.007977, 0.000026
100, 0.000020, 0.008069, 0.000026
100, 0.000020, 0.007986, 0.000026
100, 0.000021, 0.007985, 0.000025
100, 0.000020, 0.008004, 0.000026
100, 0.000020, 0.008009, 0.000026
100, 0.000020, 0.008114, 0.000025
100, 0.000020, 0.008276, 0.000025
1000, 0.000243, 0.046386, 0.000363
1000, 0.000243, 0.045770, 0.000358
1000, 0.000243, 0.046641, 0.000361
1000, 0.000279, 0.047582, 0.001251
1000, 0.000243, 0.047031, 0.000361
1000, 0.000243, 0.046335, 0.000361
1000, 0.000242, 0.046002, 0.000358
1000, 0.000243, 0.046443, 0.000360
1000, 0.000243, 0.046213, 0.000395
1000, 0.000278, 0.047137, 0.000361
10000, 0.003492, 0.072050, 0.002860
10000, 0.003536, 0.071614, 0.002838
10000, 0.003299, 0.086204, 0.002848
10000, 0.003289, 0.083077, 0.002869
10000, 0.003273, 0.082889, 0.002872
10000, 0.003308, 0.083805, 0.002865
10000, 0.003309, 0.083181, 0.002867
10000, 0.003298, 0.081894, 0.002874
10000, 0.003308, 0.083090, 0.002872
10000, 0.003306, 0.083312, 0.002861
100000, 0.040349, 0.153956, 0.038105
100000, 0.039968, 0.156258, 0.037061
100000, 0.039996, 0.158079, 0.036701
100000, 0.040007, 0.154459, 0.036848
100000, 0.039995, 0.156664, 0.037029
100000, 0.041263, 0.141019, 0.036670
100000, 0.041251, 0.143235, 0.036708
100000, 0.041252, 0.141426, 0.036828
100000, 0.041258, 0.146470, 0.036342
100000, 0.041352, 0.146834, 0.036754
1000000, 0.491965, 0.646155, 0.435550
1000000, 0.499756, 0.643917, 0.435861
1000000, 0.496925, 0.650344, 0.435169
1000000, 0.495513, 0.637250, 0.434525
1000000, 0.529060, 0.633945, 0.435428
1000000, 0.499781, 0.643234, 0.435907
1000000, 0.489180, 0.644883, 0.434744
1000000, 0.508922, 0.622902, 0.434918
1000000, 0.501888, 0.644203, 0.436023
1000000, 0.493982, 0.644503, 0.435086
