Size, Seq, Par, Libc
100, 0.000021, 0.014042, 0.000024
100, 0.000020, 0.016494, 0.000024
100, 0.000020, 0.013865, 0.000022
100, 0.000020, 0.013535, 0.000024
100, 0.000020, 0.013093, 0.000022
100, 0.000020, 0.013088, 0.000023
100, 0.000020, 0.013873, 0.000024
100, 0.000020, 0.011215, 0.000024
100, 0.000020, 0.014501, 0.000023
100, 0.000020, 0.017275, 0.000023
1000, 0.000254, 0.059105, 0.000365
1000, 0.000254, 0.072376, 0.000366
1000, 0.000254, 0.046190, 0.000358
1000, 0.000237, 0.081751, 0.000368
1000, 0.000237, 0.069302, 0.000370
1000, 0.000237, 0.082830, 0.000371
1000, 0.000238, 0.070903, 0.000369
1000, 0.000237, 0.076193, 0.000367
1000, 0.000237, 0.070553, 0.000364
1000, 0.000237, 0.071811, 0.000366
10000, 0.003174, 0.091625, 0.002885
10000, 0.003143, 0.086427, 0.002891
10000, 0.003162, 0.092500, 0.002848
10000, 0.003174, 0.089711, 0.002870
10000, 0.003178, 0.090819, 0.002873
10000, 0.003288, 0.138602, 0.002875
10000, 0.003429, 0.122876, 0.002854
10000, 0.003694, 0.122005, 0.002878
10000, 0.003282, 0.128751, 0.002855
10000, 0.003303, 0.127109, 0.002871
100000, 0.040638, 0.128069, 0.035875
100000, 0.040513, 0.154667, 0.036021
100000, 0.041397, 0.172653, 0.035821
100000, 0.041382, 0.193049, 0.035993
100000, 0.041380, 0.171918, 0.036436
100000, 0.042341, 0.181000, 0.036000
100000, 0.042285, 0.195537, 0.035787
100000, 0.042340, 0.177860, 0.035987
100000, 0.042355, 0.173692, 0.036087
100000, 0.042035, 0.168518, 0.036050
1000000, 0.501365, 0.438267, 0.435553
1000000, 0.490263, 0.473523, 0.436667
1000000, 0.507141, 0.468945, 0.436242
1000000, 0.517519, 0.484413, 0.435895
1000000, 0.475213, 0.492868, 0.436159
1000000, 0.481846, 0.457908, 0.435055
1000000, 0.492775, 0.458834, 0.435644
1000000, 0.494870, 0.461975, 0.435440
1000000, 0.490804, 0.462879, 0.435884
1000000, 0.487825, 0.448785, 0.435949
